PartipantID,Index,Vis,Error,TruePerc,ReportPerc
2014-11-20-20-21,0,BarChart - white,0.4262279,0.6077584,0.6199456
2014-11-20-20-21,1,BarChart - all different color,0.1941620,0.8545077,0.8443171
2014-11-20-20-21,2,BarChart - white,2.7731002,0.8671802,0.9342878
2014-11-20-20-21,3,BarChart - all different color,2.7078498,0.6610106,0.7250953
2014-11-20-20-21,4,BarChart - mark w/color,2.4139374,0.9506781,0.8986355
2014-11-20-20-21,5,BarChart - mark w/color,1.8399983,0.3131208,0.2785698
2014-11-20-20-21,6,BarChart - all same color,3.2257647,0.6264941,0.7187959
2014-11-20-20-21,7,BarChart - mark w/color,3.1374079,0.6994017,0.7861458
2014-11-20-20-21,8,BarChart - all different color,3.2250766,0.1437414,0.2359986
2014-11-20-20-21,9,BarChart - all different color,2.8081230,0.1265020,0.0577148
2014-11-20-20-21,10,BarChart - mark w/color,2.3828072,0.6244147,0.6753197
2014-11-20-20-21,11,BarChart - all different color,2.2367229,0.3402926,0.3861751
2014-11-20-20-21,12,BarChart - mark w/color,2.9581553,0.5372012,0.4607382
2014-11-20-20-21,13,BarChart - mark w/color,2.0909928,0.3107722,0.2694181
2014-11-20-20-21,14,BarChart - mark w/color,2.8062945,0.3708797,0.3021811
2014-11-20-20-21,15,BarChart - mark w/color,1.5690604,0.9845618,0.9561407
2014-11-20-20-21,16,BarChart - all different color,2.1935903,0.9389401,0.9834344
2014-11-20-20-21,17,BarChart - all same color,2.9983842,0.2487167,0.3273771
2014-11-20-20-21,18,BarChart - all same color,-1.3844150,0.2310741,0.2284936
2014-11-20-20-21,19,BarChart - mark w/color,2.7401456,0.9602039,0.8946401
2014-11-20-20-21,20,BarChart - all different color,2.6165488,0.3005487,0.3606269
2014-11-20-20-21,21,BarChart - all different color,2.6297868,0.5458255,0.4851821
2014-11-20-20-21,22,BarChart - mark w/color,2.6877032,0.3664072,0.4295859
2014-11-20-20-21,23,BarChart - all same color,2.9865672,0.0548266,0.1328352
