PartipantID,Index,Vis,Error,TruePerc,ReportPerc
2014-11-19-17-59,0,BarChart - white,2.3782675,0.6492588,0.7
2014-11-19-17-59,1,BarChart - all same color,2.4286895,0.25259042,0.2
2014-11-19-17-59,2,BarChart - white,2.6589208,0.738094,0.8
2014-11-19-17-59,3,BarChart - white,2.6758604,0.16265197,0.1
2014-11-19-17-59,4,BarChart - white,2.8632345,0.52848554,0.6
2014-11-19-17-59,5,BarChart - mark w/color,2.1482522,0.12307904,0.08
2014-11-19-17-59,6,BarChart - all same color,4.042824,0.5864295,0.75
2014-11-19-17-59,7,BarChart - white,1.9602361,0.94233745,0.98
2014-11-19-17-59,8,BarChart - all same color,-0.6970291,0.054918412,0.05
2014-11-19-17-59,9,BarChart - all same color,1.9602361,0.94233745,0.98
2014-11-19-17-59,10,BarChart - all same color,1.2826793,0.12307904,0.1
2014-11-19-17-59,11,BarChart - all same color,2.6589208,0.738094,0.8
2014-11-19-17-59,12,BarChart - all same color,0.97394615,0.021607941,0.04
2014-11-19-17-59,13,BarChart - mark w/color,2.0830672,0.7411207,0.7
2014-11-19-17-59,14,BarChart - all same color,2.1165788,0.49211642,0.45
2014-11-19-17-59,15,BarChart - all different color,2.8632345,0.52848554,0.6
2014-11-19-17-59,16,BarChart - mark w/color,0.28072518,0.48910195,0.5
2014-11-19-17-59,17,BarChart - mark w/color,4.4982934,0.6252433,0.85
2014-11-19-17-59,18,BarChart - white,-2.799906,0.800186,0.8
2014-11-19-17-59,19,BarChart - all same color,2.245365,0.5538343,0.6
2014-11-19-17-59,20,BarChart - all different color,1.0060863,0.118834555,0.1
2014-11-19-17-59,21,BarChart - all same color,2.951846,0.47387618,0.55
2014-11-19-17-59,22,BarChart - all different color,1.330314,0.9561043,0.98
2014-11-19-17-59,23,BarChart - white,5.58602,0.48910195,0.01
2014-11-19-17-59,24,BarChart - all same color,2.9191787,0.72560847,0.8
2014-11-19-17-59,25,BarChart - mark w/color,1.4527968,0.47387618,0.5
2014-11-19-17-59,26,BarChart - all same color,3.3623385,0.4984094,0.6
2014-11-19-17-59,27,BarChart - all different color,2.5880685,0.7411207,0.8
2014-11-19-17-59,28,BarChart - mark w/color,3.6512418,0.72560847,0.85
2014-11-19-17-59,29,BarChart - all same color,2.0363538,0.46022925,0.5
2014-11-19-17-59,30,BarChart - white,2.9738972,0.6226844,0.7
2014-11-19-17-59,31,BarChart - mark w/color,0.4752889,0.16265197,0.15
2014-11-19-17-59,32,BarChart - all different color,3.0863771,0.89631397,0.98
2014-11-19-17-59,33,BarChart - all same color,1.2590853,0.6226844,0.6
2014-11-19-17-59,34,BarChart - white,1.2826793,0.12307904,0.1
2014-11-19-17-59,35,BarChart - all different color,2.5123632,0.92419463,0.98
2014-11-19-17-59,36,BarChart - white,0.529365,0.9668171,0.98
2014-11-19-17-59,37,BarChart - white,2.9191787,0.72560847,0.8
2014-11-19-17-59,38,BarChart - mark w/color,2.975623,0.25259042,0.33
2014-11-19-17-59,39,BarChart - all same color,0.4752889,0.16265197,0.15
2014-11-19-17-59,40,BarChart - white,1.3967946,0.054918412,0.08
2014-11-19-17-59,41,BarChart - all different color,-0.052586894,0.021607941,0.03
2014-11-19-17-59,42,BarChart - white,2.5880685,0.7411207,0.8
2014-11-19-17-59,43,BarChart - all same color,0.529365,0.9668171,0.98
2014-11-19-17-59,44,BarChart - mark w/color,5.1664486,0.49211642,0.85
2014-11-19-17-59,45,BarChart - mark w/color,1.1399605,0.0192125,0.04
2014-11-19-17-59,46,BarChart - all different color,0.529365,0.9668171,0.98
2014-11-19-17-59,47,BarChart - all different color,5.1500897,0.5538343,0.2
2014-11-19-17-59,48,BarChart - mark w/color,0.5619072,0.4364878,0.45
2014-11-19-17-59,49,BarChart - mark w/color,3.1861956,0.46022925,0.55
2014-11-19-17-59,50,BarChart - mark w/color,1.0060863,0.118834555,0.1
2014-11-19-17-59,51,BarChart - all different color,2.951846,0.47387618,0.55
2014-11-19-17-59,52,BarChart - all different color,3.3623385,0.4984094,0.6
2014-11-19-17-59,53,BarChart - white,2.975623,0.25259042,0.33
2014-11-19-17-59,54,BarChart - white,4.342274,0.4984094,0.7
2014-11-19-17-59,55,BarChart - white,0.598913,0.9561043,0.97
2014-11-19-17-59,56,BarChart - all different color,1.5966771,0.3289946,0.3
2014-11-19-17-59,57,BarChart - all same color,4.1375585,0.6252433,0.8
2014-11-19-17-59,58,BarChart - white,3.6554286,0.6252433,0.75
2014-11-19-17-59,59,BarChart - mark w/color,4.3031645,0.5538343,0.75
2014-11-19-17-59,60,BarChart - all different color,1.9160099,0.4364878,0.4
2014-11-19-17-59,61,BarChart - mark w/color,1.5966771,0.3289946,0.3
2014-11-19-17-59,62,BarChart - white,2.0363538,0.46022925,0.5
2014-11-19-17-59,63,BarChart - all same color,2.695152,0.4364878,0.5
2014-11-19-17-59,64,BarChart - white,2.4577525,0.89631397,0.95
2014-11-19-17-59,65,BarChart - all different color,0.57297885,0.61362594,0.6
2014-11-19-17-59,66,BarChart - all same color,3.1313267,0.61362594,0.7
2014-11-19-17-59,67,BarChart - all different color,-0.6970291,0.054918412,0.05
2014-11-19-17-59,68,BarChart - all same color,2.5123632,0.92419463,0.98
2014-11-19-17-59,69,BarChart - white,-0.13074787,0.49211642,0.5
2014-11-19-17-59,70,BarChart - all different color,3.6554286,0.6252433,0.75
2014-11-19-17-59,71,BarChart - all different color,-0.13074787,0.49211642,0.5
2014-11-19-17-59,72,BarChart - all different color,2.6589208,0.738094,0.8
2014-11-19-17-59,73,BarChart - white,3.2841535,0.5538343,0.65
2014-11-19-17-59,74,BarChart - all different color,2.0363538,0.46022925,0.5
2014-11-19-17-59,75,BarChart - mark w/color,1.9761431,0.738094,0.7
2014-11-19-17-59,76,BarChart - all same color,2.4577525,0.89631397,0.95
2014-11-19-17-59,77,BarChart - mark w/color,0.8533644,0.9668171,0.95
2014-11-19-17-59,78,BarChart - mark w/color,2.69645,0.5864295,0.65
2014-11-19-17-59,79,BarChart - all same color,2.4399948,0.34698603,0.4
2014-11-19-17-59,80,BarChart - mark w/color,4.229773,0.61362594,0.8
2014-11-19-17-59,81,BarChart - mark w/color,2.2701106,0.34698603,0.3
2014-11-19-17-59,82,BarChart - mark w/color,3.6178207,0.52848554,0.65
2014-11-19-17-59,83,BarChart - all different color,-0.16609229,0.94233745,0.95
2014-11-19-17-59,84,BarChart - all same color,2.3523078,0.800186,0.85
2014-11-19-17-59,85,BarChart - mark w/color,1.3967946,0.054918412,0.08
2014-11-19-17-59,86,BarChart - all same color,0.28072518,0.48910195,0.5
2014-11-19-17-59,87,BarChart - all same color,1.6797616,0.0192125,0.05
2014-11-19-17-59,88,BarChart - white,2.951846,0.47387618,0.55
2014-11-19-17-59,89,BarChart - all same color,-0.44334194,0.9561043,0.95
2014-11-19-17-59,90,BarChart - white,1.6797616,0.0192125,0.05
