PartipantID,Index,Vis,Error,TruePerc,ReportPerc
2014-11-20-19-50,0,BarChart - all different color,1.1306884,0.5632394,0.5425931
2014-11-20-19-50,1,BarChart - all same color,1.4829380,0.6247182,0.6514200
2014-11-20-19-50,2,BarChart - mark w/color,0.4564649,0.0176715,0.0301432
2014-11-20-19-50,3,BarChart - mark w/color,2.8981577,0.9176757,0.9909731
2014-11-20-19-50,4,BarChart - all same color,-0.4558244,0.5444311,0.5504720
2014-11-20-19-50,5,BarChart - white,2.9395072,0.5231708,0.4477059
2014-11-20-19-50,6,BarChart - mark w/color,3.2393444,0.5197294,0.6129159
2014-11-20-19-50,7,BarChart - all different color,3.1270608,0.5958761,0.5097608
2014-11-20-19-50,8,BarChart - all same color,-0.3906488,0.7550373,0.7486595
2014-11-20-19-50,9,BarChart - white,2.9931988,0.1315367,0.0531629
2014-11-20-19-50,10,BarChart - all same color,0.2163528,0.4298673,0.4194993
2014-11-20-19-50,11,BarChart - mark w/color,1.9144426,0.8203482,0.7839014
2014-11-20-19-50,12,BarChart - white,3.1534802,0.9375571,0.8498271
2014-11-20-19-50,13,BarChart - all same color,1.1235849,0.3662686,0.3457298
2014-11-20-19-50,14,BarChart - white,3.2183777,0.4709269,0.3791030
2014-11-20-19-50,15,BarChart - all same color,-0.4083711,0.3766144,0.3703297
2014-11-20-19-50,16,BarChart - all same color,2.1793851,0.2181324,0.2621784
2014-11-20-19-50,17,BarChart - white,0.7810421,0.0102733,0.0262070
2014-11-20-19-50,18,BarChart - mark w/color,1.5798373,0.1442573,0.1729009
2014-11-20-19-50,19,BarChart - mark w/color,3.3174826,0.8745518,0.9729941
2014-11-20-19-50,20,BarChart - white,1.9676752,0.1022582,0.1401219
2014-11-20-19-50,21,BarChart - all same color,2.4645927,0.2048933,0.2588404
2014-11-20-19-50,22,BarChart - all different color,-0.1781938,0.1751996,0.1676115
2014-11-20-19-50,23,BarChart - mark w/color,1.6176986,0.3970117,0.4264502
