PartipantID,Index,Vis,Error,TruePerc,ReportPerc
2014-11-19-15-40,0,BarChart - white,1.38259,0.87517637,0.9
2014-11-19-15-40,1,BarChart - all same color,-0.009859325,0.9386819,0.93
2014-11-19-15-40,2,BarChart - mark w/color,1.6636953,0.8295673,0.86
2014-11-19-15-40,3,BarChart - mark w/color,2.90272,0.2764665,0.35
2014-11-19-15-40,4,BarChart - all different color,1.9221684,0.91335076,0.95
2014-11-19-15-40,5,BarChart - all same color,1.9221684,0.91335076,0.95
2014-11-19-15-40,6,BarChart - all same color,5.9246964,0.8062012,0.2
2014-11-19-15-40,7,BarChart - white,-0.057763286,0.49164248,0.5
2014-11-19-15-40,8,BarChart - all same color,1.7968403,0.5665042,0.6
2014-11-19-15-40,9,BarChart - all different color,0.7728147,0.465836,0.45
2014-11-19-15-40,10,BarChart - all same color,2.0029032,0.76116943,0.8
2014-11-19-15-40,11,BarChart - all different color,0.45771652,0.112483665,0.1
2014-11-19-15-40,12,BarChart - all same color,0.48747072,0.41276985,0.4
2014-11-19-15-40,13,BarChart - all same color,1.5960158,0.52898073,0.5
2014-11-19-15-40,14,BarChart - all same color,1.1551901,0.57897866,0.6
2014-11-19-15-40,15,BarChart - all same color,1.4980899,0.52699685,0.5
2014-11-19-15-40,16,BarChart - all different color,1.1551901,0.57897866,0.6
2014-11-19-15-40,17,BarChart - white,1.9548045,0.112483665,0.15
2014-11-19-15-40,18,BarChart - all different color,2.903015,0.6764512,0.75
2014-11-19-15-40,19,BarChart - white,2.256526,0.24653395,0.2
2014-11-19-15-40,20,BarChart - all different color,1.5960158,0.52898073,0.5
2014-11-19-15-40,21,BarChart - mark w/color,-0.8760555,0.94580144,0.95
2014-11-19-15-40,22,BarChart - white,2.8416243,0.8295673,0.9
2014-11-19-15-40,23,BarChart - all different color,3.4542754,0.49164248,0.6
2014-11-19-15-40,24,BarChart - all different color,1.7975485,0.1664871,0.2
2014-11-19-15-40,25,BarChart - all same color,-1.0021266,0.29625738,0.3
2014-11-19-15-40,26,BarChart - all different color,-1.916783,0.9013984,0.9
2014-11-19-15-40,27,BarChart - mark w/color,-0.057763286,0.49164248,0.5
2014-11-19-15-40,28,BarChart - white,2.3176389,0.9013984,0.95
2014-11-19-15-40,29,BarChart - mark w/color,1.5960158,0.52898073,0.5
2014-11-19-15-40,30,BarChart - all same color,1.7975485,0.1664871,0.2
2014-11-19-15-40,31,BarChart - all different color,1.7968403,0.5665042,0.6
2014-11-19-15-40,32,BarChart - all same color,-0.057763286,0.49164248,0.5
2014-11-19-15-40,33,BarChart - all same color,1.4707445,0.2764665,0.25
2014-11-19-15-40,34,BarChart - mark w/color,3.6087298,0.5792567,0.7
2014-11-19-15-40,35,BarChart - mark w/color,0.23132081,0.18951091,0.2
2014-11-19-15-40,36,BarChart - all same color,-1.96784,0.80130637,0.8
2014-11-19-15-40,37,BarChart - white,1.0670563,0.81970155,0.8
2014-11-19-15-40,38,BarChart - mark w/color,-1.0843476,0.24653395,0.25
2014-11-19-15-40,39,BarChart - mark w/color,1.674382,0.36066827,0.33
