PartipantID,Index,Vis,Error,TruePerc,ReportPerc
2014-11-20-0-22,0,BarChart - mark w/color,2.939045,0.37455964,0.45
2014-11-20-0-22,1,BarChart - all different color,3.1394367,0.363132,0.45
2014-11-20-0-22,2,BarChart - all same color,1.5888156,0.27883023,0.25
2014-11-20-0-22,3,BarChart - white,2.1985059,0.8946504,0.85
2014-11-20-0-22,4,BarChart - mark w/color,2.0864682,0.12877929,0.17
2014-11-20-0-22,5,BarChart - mark w/color,-2.6107047,0.8996128,0.9
2014-11-20-0-22,6,BarChart - all different color,-0.41557762,0.2437528,0.25
2014-11-20-0-22,7,BarChart - all same color,2.4385593,0.39703998,0.45
2014-11-20-0-22,8,BarChart - white,1.1725856,0.02870847,0.05
2014-11-20-0-22,9,BarChart - all same color,-0.08682059,0.74183404,0.75
2014-11-20-0-22,10,BarChart - all different color,-0.49861202,0.25582787,0.25
2014-11-20-0-22,11,BarChart - all different color,1.6991385,0.12877929,0.16
2014-11-20-0-22,12,BarChart - all different color,-0.057459004,0.25835955,0.25
2014-11-20-0-22,13,BarChart - mark w/color,3.2108757,0.90865874,1.0
2014-11-20-0-22,14,BarChart - white,-0.41557762,0.2437528,0.25
2014-11-20-0-22,15,BarChart - all different color,-2.6107047,0.8996128,0.9
2014-11-20-0-22,16,BarChart - all different color,1.2005101,0.07826791,0.1
2014-11-20-0-22,17,BarChart - all same color,3.1394367,0.363132,0.45
2014-11-20-0-22,18,BarChart - all same color,4.160196,0.4224598,0.6
2014-11-20-0-22,19,BarChart - all same color,-0.5126702,0.45575923,0.45
2014-11-20-0-22,20,BarChart - all different color,-1.0017304,0.946256,0.95
2014-11-20-0-22,21,BarChart - mark w/color,1.7816529,0.363132,0.33
2014-11-20-0-22,22,BarChart - all different color,1.9579736,0.2876016,0.25
2014-11-20-0-22,23,BarChart - white,1.9579736,0.2876016,0.25
2014-11-20-0-22,24,BarChart - white,1.7816529,0.363132,0.33
2014-11-20-0-22,25,BarChart - mark w/color,2.7767959,0.26271716,0.33
2014-11-20-0-22,26,BarChart - all same color,1.9579736,0.2876016,0.25
2014-11-20-0-22,27,BarChart - white,2.5129316,0.25582787,0.2
2014-11-20-0-22,28,BarChart - mark w/color,2.8588073,0.02870847,0.1
2014-11-20-0-22,29,BarChart - white,-1.2480989,0.39703998,0.4
2014-11-20-0-22,30,BarChart - mark w/color,-1.5747452,0.60210705,0.6
2014-11-20-0-22,31,BarChart - white,1.0093855,0.0011194652,0.02
2014-11-20-0-22,32,BarChart - mark w/color,2.101156,0.6416553,0.6
2014-11-20-0-22,33,BarChart - mark w/color,0.99224085,0.48135728,0.5
2014-11-20-0-22,34,BarChart - mark w/color,-0.5286582,0.985682,0.98
2014-11-20-0-22,35,BarChart - white,2.4156787,0.60210705,0.55
2014-11-20-0-22,36,BarChart - all same color,-0.41557762,0.2437528,0.25
2014-11-20-0-22,37,BarChart - white,1.7051944,0.48135728,0.45
2014-11-20-0-22,38,BarChart - white,-0.5126702,0.45575923,0.45
2014-11-20-0-22,39,BarChart - white,3.2108757,0.90865874,1.0
2014-11-20-0-22,40,BarChart - all different color,1.0093855,0.0011194652,0.02
2014-11-20-0-22,41,BarChart - all same color,-1.4582624,0.8023893,0.8
2014-11-20-0-22,42,BarChart - mark w/color,-0.41557762,0.2437528,0.25
2014-11-20-0-22,43,BarChart - mark w/color,-1.6516316,0.6019328,0.6
2014-11-20-0-22,44,BarChart - mark w/color,-0.08682059,0.74183404,0.75
2014-11-20-0-22,45,BarChart - all different color,0.99224085,0.48135728,0.5
2014-11-20-0-22,46,BarChart - all same color,-0.5286582,0.985682,0.98
2014-11-20-0-22,47,BarChart - all different color,2.4156787,0.60210705,0.55
2014-11-20-0-22,48,BarChart - all different color,2.4979753,0.044760793,0.1
2014-11-20-0-22,49,BarChart - all same color,2.317337,0.84859115,0.8
2014-11-20-0-22,50,BarChart - all different color,0.48203844,0.26271716,0.25
2014-11-20-0-22,51,BarChart - mark w/color,1.2005101,0.07826791,0.1
2014-11-20-0-22,52,BarChart - all different color,1.5255767,0.4224598,0.45
2014-11-20-0-22,53,BarChart - all same color,2.0864682,0.12877929,0.17
2014-11-20-0-22,54,BarChart - all different color,2.3900695,0.6011683,0.55
2014-11-20-0-22,55,BarChart - white,2.3900695,0.6011683,0.55
2014-11-20-0-22,56,BarChart - all different color,1.1725856,0.02870847,0.05
2014-11-20-0-22,57,BarChart - all same color,2.4156787,0.60210705,0.55
2014-11-20-0-22,58,BarChart - white,2.0864682,0.12877929,0.17
2014-11-20-0-22,59,BarChart - mark w/color,1.0093855,0.0011194652,0.02
2014-11-20-0-22,60,BarChart - all different color,2.4385593,0.39703998,0.45
2014-11-20-0-22,61,BarChart - all same color,-0.59955466,0.8946504,0.9
2014-11-20-0-22,62,BarChart - white,2.101156,0.6416553,0.6
2014-11-20-0-22,63,BarChart - all different color,1.0003556,0.43124506,0.45
2014-11-20-0-22,64,BarChart - all different color,-0.08682059,0.74183404,0.75
2014-11-20-0-22,65,BarChart - all different color,2.5111952,0.45575923,0.4
2014-11-20-0-22,66,BarChart - white,0.91618204,0.18762115,0.17
2014-11-20-0-22,67,BarChart - white,1.5888156,0.27883023,0.25
2014-11-20-0-22,68,BarChart - white,-0.5286582,0.985682,0.98
2014-11-20-0-22,69,BarChart - mark w/color,-0.49861202,0.25582787,0.25
2014-11-20-0-22,70,BarChart - mark w/color,1.0003556,0.43124506,0.45
2014-11-20-0-22,71,BarChart - all same color,1.2005101,0.07826791,0.1
2014-11-20-0-22,72,BarChart - all same color,1.1725856,0.02870847,0.05
2014-11-20-0-22,73,BarChart - mark w/color,1.2454839,0.4224598,0.4
2014-11-20-0-22,74,BarChart - white,0.48203844,0.26271716,0.25
2014-11-20-0-22,75,BarChart - all same color,2.4109602,0.6019328,0.55
2014-11-20-0-22,76,BarChart - all different color,2.669681,0.18762115,0.25
2014-11-20-0-22,77,BarChart - all same color,-2.047964,0.6011683,0.6
2014-11-20-0-22,78,BarChart - all different color,2.3966753,0.84859115,0.9
2014-11-20-0-22,79,BarChart - all same color,0.44666457,0.18762115,0.2
2014-11-20-0-22,80,BarChart - white,2.4109602,0.6019328,0.55
