PartipantID,Index,Vis,Error,TruePerc,ReportPerc
2014-11-19-15-26,0,BarChart - all same color,2.634767,0.76085746,0.7
2014-11-19-15-26,1,BarChart - all different color,1.4649415,0.07364477,0.1
2014-11-19-15-26,2,BarChart - white,0.5139531,0.6130296,0.6
2014-11-19-15-26,3,BarChart - all different color,0.50429165,0.83706576,0.85
2014-11-19-15-26,4,BarChart - all different color,2.5830975,0.8586725,0.8
2014-11-19-15-26,5,BarChart - all different color,2.5184143,0.04395481,0.1
2014-11-19-15-26,6,BarChart - white,-0.45498204,0.04395481,0.05
2014-11-19-15-26,7,BarChart - mark w/color,0.50429165,0.83706576,0.85
2014-11-19-15-26,8,BarChart - all same color,-1.3115039,0.977221,0.98
2014-11-19-15-26,9,BarChart - all different color,0.5139531,0.6130296,0.6
2014-11-19-15-26,10,BarChart - white,-0.016411046,0.4913631,0.5
2014-11-19-15-26,11,BarChart - mark w/color,1.3879198,0.6750799,0.7
2014-11-19-15-26,12,BarChart - white,1.3967024,0.6750799,0.65
2014-11-19-15-26,13,BarChart - all same color,-1.8915654,0.30144516,0.3
2014-11-19-15-26,14,BarChart - white,1.7865891,0.11675018,0.15
2014-11-19-15-26,15,BarChart - white,1.9438747,0.53722376,0.5
2014-11-19-15-26,16,BarChart - white,1.4649415,0.07364477,0.1
2014-11-19-15-26,17,BarChart - white,0.049940918,0.7091022,0.7
2014-11-19-15-26,18,BarChart - white,0.61029696,0.9640157,0.95
2014-11-19-15-26,19,BarChart - white,2.2302694,0.10432784,0.15
2014-11-19-15-26,20,BarChart - all same color,1.4649415,0.07364477,0.1
2014-11-19-15-26,21,BarChart - all same color,1.3879198,0.6750799,0.7
2014-11-19-15-26,22,BarChart - white,-1.3138962,0.94722766,0.95
2014-11-19-15-26,23,BarChart - white,1.6702081,0.26942396,0.3
2014-11-19-15-26,24,BarChart - all same color,-0.011227954,0.8586725,0.85
2014-11-19-15-26,25,BarChart - all different color,1.1990314,0.97170854,0.95
2014-11-19-15-26,26,BarChart - all different color,1.5094943,0.977221,0.95
2014-11-19-15-26,27,BarChart - mark w/color,1.9801046,0.56179786,0.6
2014-11-19-15-26,28,BarChart - all different color,2.2302694,0.10432784,0.15
2014-11-19-15-26,29,BarChart - white,1.4959671,0.023044685,0.05
2014-11-19-15-26,30,BarChart - all different color,2.638474,0.6389827,0.7
2014-11-19-15-26,31,BarChart - all different color,0.19809666,0.5397782,0.55
2014-11-19-15-26,32,BarChart - white,0.2948134,0.6389827,0.65
2014-11-19-15-26,33,BarChart - mark w/color,-0.3273364,0.95672005,0.95
