PartipantID,Index,Vis,Error,TruePerc,ReportPerc
2014-11-20-18-12,0,BarChart - mark w/color,-1.5961013,0.9405173,0.9425750
2014-11-20-18-12,1,BarChart - white,1.4912152,0.6772527,0.7041153
2014-11-20-18-12,2,BarChart - white,2.1436976,0.3471372,0.3041979
2014-11-20-18-12,3,BarChart - all different color,0.3238627,0.5755850,0.5868518
2014-11-20-18-12,4,BarChart - all different color,2.0458655,0.2860263,0.2459842
2014-11-20-18-12,5,BarChart - mark w/color,1.9759632,0.8015879,0.7634988
2014-11-20-18-12,6,BarChart - all same color,2.4257632,0.3262247,0.2737434
2014-11-20-18-12,7,BarChart - all same color,2.8198742,0.8651485,0.9345086
2014-11-20-18-12,8,BarChart - white,1.0873432,0.9982430,0.9782448
2014-11-20-18-12,9,BarChart - white,0.4101254,0.7378846,0.7258466
2014-11-20-18-12,10,BarChart - all same color,1.3414561,0.9761263,0.9520356
2014-11-20-18-12,11,BarChart - mark w/color,3.1499880,0.3205567,0.4080716
2014-11-20-18-12,12,BarChart - mark w/color,1.0944683,0.5022804,0.4821770
2014-11-20-18-12,13,BarChart - mark w/color,1.7472508,0.6618233,0.6941451
2014-11-20-18-12,14,BarChart - mark w/color,-2.4487050,0.5145365,0.5139547
2014-11-20-18-12,15,BarChart - all same color,2.5125032,0.2657772,0.3215881
2014-11-20-18-12,16,BarChart - all same color,3.2661542,0.6197535,0.5247957
2014-11-20-18-12,17,BarChart - white,3.2631038,0.1946466,0.0998920
2014-11-20-18-12,18,BarChart - mark w/color,0.8346383,0.7687719,0.7521878
2014-11-20-18-12,19,BarChart - mark w/color,2.3683327,0.0452110,0.0955954
2014-11-20-18-12,20,BarChart - all different color,1.5912015,0.8289946,0.8578746
2014-11-20-18-12,21,BarChart - mark w/color,2.6905218,0.0098045,0.0731091
2014-11-20-18-12,22,BarChart - white,1.3421317,0.2308699,0.2067674
2014-11-20-18-12,23,BarChart - mark w/color,-1.7000744,0.7032414,0.7014137
2014-11-20-18-12,24,BarChart - white,3.2966126,0.2428609,0.3398715
2014-11-20-18-12,25,BarChart - all same color,2.4965432,0.8725420,0.9277252
2014-11-20-18-12,26,BarChart - all different color,2.3055862,0.0038663,0.0520531
2014-11-20-18-12,27,BarChart - all same color,-0.4749241,0.4593482,0.4534032
2014-11-20-18-12,28,BarChart - all different color,-0.0418797,0.3710903,0.3626264
2014-11-20-18-12,29,BarChart - white,2.4804165,0.4325958,0.3780400
2014-11-20-18-12,30,BarChart - white,3.2850098,0.5565755,0.4603521
2014-11-20-18-12,31,BarChart - all same color,0.7237083,0.9668116,0.9515473
2014-11-20-18-12,32,BarChart - all different color,0.8153265,0.8873697,0.9037166
2014-11-20-18-12,33,BarChart - all same color,2.9906815,0.2592341,0.3374690
2014-11-20-18-12,34,BarChart - all same color,2.6696129,0.6909389,0.6285630
2014-11-20-18-12,35,BarChart - mark w/color,0.4443134,0.0488937,0.0365371
2014-11-20-18-12,36,BarChart - all different color,2.9502778,0.7684536,0.8444934
2014-11-20-18-12,37,BarChart - mark w/color,2.7589512,0.5322591,0.4658187
2014-11-20-18-12,38,BarChart - all different color,-2.1197991,0.8118755,0.8129263
2014-11-20-18-12,39,BarChart - all same color,1.8544713,0.9003812,0.8654692
2014-11-20-18-12,40,BarChart - white,3.2944747,0.3210417,0.2241766
2014-11-20-18-12,41,BarChart - mark w/color,3.0770819,0.6698388,0.7529794
2014-11-20-18-12,42,BarChart - white,1.5287490,0.7864950,0.8140986
2014-11-20-18-12,43,BarChart - white,2.1745814,0.0587608,0.1026563
2014-11-20-18-12,44,BarChart - all different color,3.0957763,0.2134580,0.2976992
2014-11-20-18-12,45,BarChart - all same color,2.8400102,0.6318944,0.7022469
2014-11-20-18-12,46,BarChart - white,2.4051331,0.4972757,0.5489941
2014-11-20-18-12,47,BarChart - white,1.8343203,0.1257080,0.0912977
2014-11-20-18-12,48,BarChart - all same color,-2.1925503,0.4863525,0.4872901
2014-11-20-18-12,49,BarChart - all same color,0.0656476,0.8026569,0.8118724
2014-11-20-18-12,50,BarChart - mark w/color,-1.7910322,0.5810129,0.5793732
2014-11-20-18-12,51,BarChart - all same color,3.1224255,0.0013361,0.0871712
2014-11-20-18-12,52,BarChart - mark w/color,1.9735937,0.7075528,0.6695283
2014-11-20-18-12,53,BarChart - white,2.7977477,0.2329622,0.1646768
2014-11-20-18-12,54,BarChart - all different color,3.1995154,0.8811609,0.9717759
2014-11-20-18-12,55,BarChart - white,2.6600710,0.4131537,0.3511973
2014-11-20-18-12,56,BarChart - white,1.3568435,0.9290400,0.9534024
2014-11-20-18-12,57,BarChart - all same color,2.8985833,0.0582983,0.1316177
